V1-A;V2-A;V3-A;V4-A;V5-A;V6-A;V7-A;V8-A;V9-A;V10-A;V11-A;V12-A;V13-A;V14-A;V15-A;V16-A;B1-A;B2-A;B3-A;B4-A;B5-A;B6-A;B7-A;B8-A;B9-A;B10-A;B11-A;B12-A;B13-A;B14-A;R1-A;R2-A;R3-A;R4-A;R5-A;R6-A;R7-A;R8-A
12662.13;35470.68;58871.82;41813.21;29125.34;11366.29;7038.67;4267.65;2169.22;1667.01;110.34;161.23;207.16;198.02;44.75;244.91;204.57;450.44;57.47;255.42;202.05;785.13;-117.47;-188.81;10.81;-85.42;-19.28;-69.30;140.32;-50.42;588.92;272.27;238.67;238.63;180.34;274.58;54.01;499.94
4261.36;2091.60;1933.57;1572.71;2172.89;1392.42;1236.06;1108.86;908.44;736.77;256.68;149.13;142.10;118.90;-42.09;293.93;58.61;168.60;260.19;425.27;307.20;712.41;83.23;-24.57;33.65;301.11;268.76;-147.44;-13.57;-236.55;635.04;362.96;151.98;334.06;111.51;-17.80;301.57;485.26
4099.02;1749.90;1871.93;1953.96;2272.46;1184.54;1240.70;1018.61;725.85;539.87;293.14;161.23;41.69;186.68;43.36;82.17;-23.63;96.37;384.80;257.23;168.20;1085.25;120.10;343.15;300.95;103.68;194.37;-7.28;-8.13;49.48;279.74;12.42;-128.42;282.55;-93.78;141.55;-215.60;302.14
11602.56;36071.02;59987.84;42674.82;28796.99;10341.95;6873.69;4129.33;2311.83;1421.49;558.60;224.29;169.05;183.85;253.47;-58.34;8.32;225.95;348.21;99.68;225.79;841.83;25.31;59.27;327.83;62.70;349.19;49.17;165.50;293.35;258.00;19.05;-170.66;208.37;-68.91;-86.69;-196.90;94.47
4255.75;1864.44;1762.00;1332.86;2344.96;1451.89;1060.14;1144.71;654.12;677.60;232.83;273.44;153.56;190.42;62.44;217.70;-158.48;23.08;142.11;161.86;153.49;817.13;346.21;109.54;-91.45;-62.54;-262.84;-94.39;10.13;-164.43;359.67;35.80;53.09;222.54;288.26;167.76;156.23;287.46
4703.08;1930.96;2139.31;1895.88;2471.79;1431.07;1167.89;935.52;509.86;479.52;492.48;350.99;416.98;6.64;162.69;-104.51;-21.98;78.31;170.91;439.48;95.76;721.40;51.40;134.84;556.63;295.53;-15.62;124.75;-2.16;68.56;716.74;169.58;50.96;436.15;306.65;327.76;84.95;128.74
26146.07;73011.27;123370.35;85850.35;58194.50;22453.70;14656.82;8442.39;4152.83;2664.90;1563.23;423.52;453.00;331.62;51.78;76.95;204.22;296.64;551.88;486.55;473.58;1468.32;224.12;154.43;606.35;256.62;178.43;-185.45;0.80;314.47;653.12;561.83;165.00;438.47;230.27;317.19;375.64;545.22
11994.64;36673.86;61008.85;42281.79;28898.93;10798.03;6625.35;4021.69;2205.22;1497.32;803.49;301.84;136.48;247.23;139.26;-143.85;30.65;295.85;653.45;108.48;208.52;1033.03;-116.38;312.37;270.30;76.37;96.01;-204.13;-58.25;84.99;456.26;250.83;-38.37;135.85;68.50;49.08;118.58;-53.93
4719.61;1709.09;1861.67;1394.51;1918.66;1088.23;1043.42;1295.17;584.41;740.77;234.76;271.63;-213.24;-42.86;-58.54;-24.55;46.25;170.14;415.94;299.08;498.05;802.98;10.46;195.07;644.35;297.12;29.34;-132.92;-69.18;198.30;220.88;57.95;-72.48;404.02;29.36;75.45;141.46;688.81
9898.46;3478.24;3746.54;3232.45;4165.48;2342.26;2041.47;1765.05;1391.94;1026.55;516.03;713.90;124.15;248.48;89.42;462.77;238.42;428.60;418.28;484.96;578.55;1790.90;-6.79;298.90;662.83;131.10;67.43;-180.61;395.85;331.72;658.46;-36.26;233.14;341.09;51.26;-131.38;46.16;76.12
5206.48;2211.94;2818.23;2310.58;3024.39;1851.57;1686.54;1636.42;1046.08;930.94;664.17;65.23;249.01;291.79;74.58;145.74;-14.96;170.63;386.37;441.11;330.35;1472.84;154.33;-73.93;332.64;213.57;113.23;-34.09;124.22;63.56;108.23;85.15;43.43;212.87;46.23;-20.30;111.10;-37.49
4703.25;1455.70;1454.65;1407.81;2332.05;1652.54;1126.26;1012.96;409.95;453.71;388.37;266.44;333.77;220.07;-78.21;-36.93;11.83;-85.05;227.61;342.61;174.13;636.12;-88.58;258.17;221.22;209.47;215.88;63.78;-7.25;18.93;476.14;31.52;227.10;293.80;-144.54;248.05;248.13;70.90
4747.32;1868.65;2107.42;1605.58;2440.20;1280.29;1427.52;1220.14;680.61;670.13;547.80;126.13;238.89;38.46;92.43;-218.55;13.18;289.06;221.85;96.86;268.52;665.71;166.74;-293.88;255.86;412.72;-23.10;-61.14;-124.34;56.48;200.48;-27.53;-13.23;86.13;-63.47;142.62;-142.52;37.28
4090.20;1547.75;1766.34;1515.63;2441.73;1174.20;1189.43;1078.61;689.47;556.67;652.03;391.23;67.84;58.06;39.47;-9.32;135.16;435.91;260.06;418.19;338.64;679.13;53.03;-0.64;401.48;189.62;-20.83;96.47;214.34;23.15;478.71;54.14;145.35;252.28;-121.03;122.77;77.87;220.72
4375.72;1634.08;1643.90;1694.27;2451.93;1481.20;1188.43;840.54;818.12;629.55;344.16;442.36;40.90;150.05;-34.64;0.80;-22.50;180.54;280.04;324.09;353.03;747.10;160.26;-67.12;80.41;301.07;-151.79;37.73;129.55;29.49;196.95;-53.09;-161.85;97.01;-251.18;-36.45;-325.51;-222.60
4591.93;1607.39;1685.62;1494.36;2377.90;1431.99;1183.00;941.61;591.63;625.15;193.52;345.93;329.69;-16.32;79.10;148.23;42.35;42.55;97.88;102.81;242.69;788.65;-60.50;195.66;232.70;57.36;316.11;-32.41;-66.45;-102.98;376.58;-104.66;-34.37;256.34;-427.02;-209.63;79.71;-83.58
13410.65;41130.73;68980.84;48300.25;33075.48;12623.88;7831.67;4768.39;2571.09;1414.85;918.91;338.11;193.50;201.30;173.60;-31.42;72.96;73.77;240.48;349.29;74.03;937.06;-158.82;144.66;196.79;121.97;73.55;125.35;42.31;11.42;299.88;-53.55;204.48;440.66;196.62;155.25;332.51;521.60
